real1,real2,real3,real4,imag1,imag2,imag3,imag4,shape,material
0.452404321984023,0.4516376877679254,0.45175136740221195,0.4517070227014696,-0.09563136344893479,-0.09618790254420091,-0.09542860331071168,-0.09542013760711239,1,1
0.613240204763972,0.3014328164784086,0.5952453787891284,0.2867643718191429,-0.16171123021026493,-0.04311281033730356,-0.15558676466629962,-0.03609591462581321,1,1
0.7788030037633575,0.16459281420477795,0.7079860277465656,0.11420993194360012,-0.24021860721793414,-0.0033360941698667547,-0.21712375405974252,0.023904673767832053,1,1
0.9392446562584877,0.04159198798189401,0.7849507448195464,-0.04885939675651514,-0.33008140927433,0.023588091066878914,-0.2797991301430136,0.08532931222312712,1,1
1.0806333173502565,-0.06825679752178945,0.8243770568131016,-0.18422028968018625,-0.42951952067145893,0.03908161671998016,-0.3421068916982204,0.1473670077587011,1,1
1.1854855658164956,-0.16582146098261658,0.826243545533398,-0.27545727375261075,-0.5353779537513473,0.04571183616064296,-0.4012012044918188,0.20686339968341597,1,1
1.234050667002095,-0.25146464172435007,0.7909262286694154,-0.3109380414603472,-0.6422916358762509,0.04707709963565563,-0.45289528587391753,0.2581287934119567,1,1
1.2064119373449416,-0.3247571826260199,0.7186151540997338,-0.28621370580004263,-0.7418461171044913,0.04739155510790383,-0.4916061419520261,0.2935760203871517,1,1
1.0852271897577146,-0.3845856504299715,0.6098350728008198,-0.20515630076526375,-0.822122733520724,0.050849388591496236,-0.5104018476574321,0.3051352275816779,1,1
0.8588822047727895,-0.4295713825741791,0.4670025611010047,-0.07954547001853607,-0.8678885784379677,0.06092805650597377,-0.5014241669711379,0.2860916322098058,1,1
0.5246520383727582,-0.45864793286184136,0.29647116229931414,0.07287281404979176,-0.8617500867864649,0.07981994475482246,-0.4570425224245973,0.23287510125319005,1,1
0.09130837513075588,-0.47156550447197226,0.11023687728210518,0.23143470526147572,-0.7863185713689731,0.10813761385238366,-0.3718026337339069,0.1462120108250396,1,1
-0.41947203599462207,-0.4691343987545412,-0.0736941458651641,0.37603424309699846,-0.6273425668703577,0.14492146974063694,-0.24497183784433307,0.03130633281619762,1,1
-0.9734632530958749,-0.4530745411184817,-0.23290347572048198,0.490253854285161,-0.37735910977791237,0.1879072088430968,-0.0829575117012837,-0.1030229958373555,1,1
-1.5264449299886953,-0.4255439597291552,-0.34419667710393576,0.5634467204150213,-0.03924413218460465,0.2338342538478381,0.09926739174480925,-0.2460433409981963,1,1
-2.0289970546793774,-0.3884443943791555,-0.38864501025377857,0.5914795125966009,0.3712374769744525,0.27865710841596397,0.27863409438170095,-0.3871471482077672,1,1
-2.433062050940554,-0.3428346032128637,-0.3567329899797276,0.576091883488338,0.8247522011040637,0.3175169136710244,0.4267661106548388,-0.5176978728544238,1,1
-2.6992855739273343,-0.28874761405611515,-0.25209431117981396,0.5232305654175763,1.2802486745233037,0.3445070860691743,0.5148468351221817,-0.6322200006845287,1,1
-2.803744717259222,-0.22564083594065085,-0.09254757379173206,0.4409022420345714,1.6895124127284853,0.3524310427424016,0.5196006527877159,-0.7286945000613518,1,1
-2.7425724723028946,-0.1535101874142269,0.09218057097364696,0.33713425779366185,2.0039261966090702,0.3328548974803489,0.42895024367536116,-0.8079809498997681,1,1
-2.533285394754867,-0.0744663711046952,0.26571212342653716,0.2184992910262867,2.1823437954813225,0.2768590747706484,0.24578378436300247,-0.8726067413168828,1,1
-2.212247294094533,0.0057882848222254426,0.3921034056009098,0.08948068659768875,2.1984290409700455,0.17663313341629597,-0.011259627792538751,-0.9253489462337946,1,1
-1.828631614205256,0.07714510913458979,0.44304080722950623,-0.04733810928871307,2.0458677679101194,0.027915930131054978,-0.3103712288010225,-0.9679512107637642,1,1
-1.4360438319129234,0.12561569756886434,0.4034201482180624,-0.19044241070340034,1.7401675961282381,-0.16714910571406527,-0.6120278746024188,-1.0003290445940956,1,1
-1.0835632575141887,0.1355492856507187,0.27402655591076996,-0.33823603727453494,1.3165326683973937,-0.3975066655547487,-0.8760777391031395,-1.0204093903268387,1,1
-0.8080745556555805,0.09344492140704634,0.07080479483256674,-0.48792221812134073,0.8242117493332393,-0.6419851764343516,-1.0688462574989581,-1.0246029283428595,1,1
-0.6293932324447431,-0.0073160298217000985,-0.17893256694010695,-0.6347165326137952,0.3185218391193237,-0.8702851317724926,-1.168710142497389,-1.0087682696979194,1,1
-0.5489615045400148,-0.16201266244950308,-0.4423105512431711,-0.7715917544214967,-0.14776534453668375,-1.0466464539094127,-1.1690306366255743,-0.9694343144950497,1,1
-0.5520275584181686,-0.35187052311109035,-0.6872841517649636,-0.8896313404687819,-0.5319542762781101,-1.1359994873364139,-1.0780228508508785,-0.9050100730729931,1,1
-0.6124640705475761,-0.5444124383445713,-0.8882054462040104,-0.9789557775875942,-0.8065368495034674,-1.1115655921257455,-0.915845585211251,-0.8167329744591993,1,1
-0.6989171112530338,-0.6975756702564048,-1.0294766296117706,-1.0300814716459463,-0.9612014502927024,-0.9622052159764682,-0.7098020466539537,-0.7091376271907112,1,1
